Phenomenon,UID,5-gram,LSTM,TXL,GPT-2,Human
ANAPHOR AGREEMENT,anaphor_gender_agreement,44,88,91,99,96
ANAPHOR AGREEMENT,anaphor_number_agreement,52,95,97,99,99
ARGUMENT STRUCTURE,animate_subject_passive,70,72,74,77,86
ARGUMENT STRUCTURE,animate_subject_trans,91,87,89,85,87
ARGUMENT STRUCTURE,causative,54,68,58,78,98
ARGUMENT STRUCTURE,drop_argument,72,79,70,81,87
ARGUMENT STRUCTURE,inchoative,51,65,54,66,82
ARGUMENT STRUCTURE,intransitive,68,79,67,84,90
ARGUMENT STRUCTURE,passive_1,89,72,81,89,95
ARGUMENT STRUCTURE,passive_2,82,73,81,90,86
ARGUMENT STRUCTURE,transitive,71,65,76,76,99
BINDING,principle_A_c_command,58,59,61,74,86
BINDING,principle_A_case_1,100,100,100,100,98
BINDING,principle_A_case_2,49,87,95,95,96
BINDING,principle_A_domain_1,95,98,99,99,95
BINDING,principle_A_domain_2,56,68,70,78,75
BINDING,principle_A_domain_3,52,55,60,75,83
BINDING,principle_A_reconstruction,40,46,38,47,78
CONTROL/RAISING,existential_there_object_raising,84,66,76,78,90
CONTROL/RAISING,existential_there_subject_raising,77,80,79,91,88
CONTROL/RAISING,expletive_it_object_raising,72,63,72,79,86
CONTROL/RAISING,tough_vs_raising_1,33,34,45,72,75
CONTROL/RAISING,tough_vs_raising_2,77,93,86,89,81
DETERMINER-NOUN AGR.,determiner_noun_agreement_1,88,92,92,99,96
DETERMINER-NOUN AGR.,determiner_noun_agreement_2,86,92,81,98,95
DETERMINER-NOUN AGR.,determiner_noun_agreement_irregular_1,53,76,81,93,92
DETERMINER-NOUN AGR.,determiner_noun_agreement_irregular_2,55,83,77,94,85
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adjective_1,52,87,86,98,95
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_2,50,86,78,95,96
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_irregular_1,53,76,81,93,94
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_irregular_2,55,83,77,94,85
ELLIPSIS,ellipsis_n_bar_1,23,68,65,92,92
ELLIPSIS,ellipsis_n_bar_2,50,67,89,87,78
FILLER GAP,wh_questions_object_gap,53,79,61,84,85
FILLER GAP,wh_questions_subject_gap,82,92,83,96,98
FILLER GAP,wh_questions_subject_gap_long_distance,86,96,86,87,85
FILLER GAP,wh_vs_that_no_gap,83,97,86,97,97
FILLER GAP,wh_vs_that_no_gap_long_distance,81,97,91,94,92
FILLER GAP,wh_vs_that_with_gap,18,43,42,55,77
FILLER GAP,wh_vs_that_with_gap_long_distance,20,14,17,56,75
IRREGULAR FORMS,irregular_past_participle_adjectives,79,93,91,98,99
IRREGULAR FORMS,irregular_past_participle_verbs,80,85,66,86,95
ISLAND EFFECTS,adjunct_island,48,67,65,89,94
ISLAND EFFECTS,complex_NP_island,50,47,58,72,80
ISLAND EFFECTS,coordinate_structure_constraint_complex_left_branch,32,30,36,81,90
ISLAND EFFECTS,coordinate_structure_constraint_object_extraction,59,71,74,85,91
ISLAND EFFECTS,left_branch_island_echo_question,96,32,63,52,91
ISLAND EFFECTS,left_branch_island_simple_question,57,36,36,87,99
ISLAND EFFECTS,sentential_subject_island,61,43,37,36,61
ISLAND EFFECTS,wh_island,56,47,20,79,73
NPI LICENSING,matrix_question_npi_licensor_present,1,2,1,65,98
NPI LICENSING,npi_present_1,47,54,61,65,83
NPI LICENSING,npi_present_2,47,54,48,64,98
NPI LICENSING,only_npi_licensor_present,57,93,80,95,92
NPI LICENSING,only_npi_scope,30,36,45,79,72
NPI LICENSING,sentential_negation_npi_licensor_present,93,100,99,97,93
NPI LICENSING,sentential_negation_npi_scope,45,23,53,73,81
QUANTIFIERS,existential_there_quantifiers_1,91,96,94,100,94
QUANTIFIERS,existential_there_quantifiers_2,62,16,14,42,76
QUANTIFIERS,superlative_quantifiers_1,45,63,84,87,91
QUANTIFIERS,superlative_quantifiers_2,17,83,85,87,85
SUBJECT-VERB AGR.,distractor_agreement_relational_noun,24,76,77,80,81
SUBJECT-VERB AGR.,distractor_agreement_relative_clause,22,63,60,66,86
SUBJECT-VERB AGR.,irregular_plural_subject_verb_agreement_1,73,81,78,93,95
SUBJECT-VERB AGR.,irregular_plural_subject_verb_agreement_2,88,89,83,92,94
SUBJECT-VERB AGR.,regular_plural_subject_verb_agreement_1,76,89,73,97,95
SUBJECT-VERB AGR.,regular_plural_subject_verb_agreement_2,81,83,85,91,95
