perturbation,generation,morcela,generation_cleaned,hadR,perplexity,slor,ntokens
english,Come.,9.882694664365285,Come.,False,4.587913477491797,6.503928028471643,2
english,"They had a daughter of six months, and a son named John John John, the youngest son of his first wife and daughter of the Prime Minister, Francis Winslow Moller, was a Member of the Scottish Parliament and was the first elected Mayor of",5.6907512523524675,"They had a daughter of six months, and a son named John John John, the youngest son of his first wife and daughter of the Prime Minister, Francis Winslow Moller, was a Member of the Scottish Parliament and was the first elected Mayor of",False,1.0744270864473238,7.840571263135578,50
english,The most common symptom of the disease is pneumonia.,6.313675025817477,The most common symptom of the disease is pneumonia.,False,1.371933156039735,7.5105257353852055,10
english,"In 2011 the United States Geological Surveyor called ""The Guardian"" of the year, the United States Department of Environmental Protection and Forestry.",6.021443655251122,"In 2011 the United States Geological Surveyor called ""The Guardian"" of the year, the United States Department of Environmental Protection and Forestry.",False,1.1659235089477866,8.066369034099697,27
english,"A man died, and three years later, in the fall of 2016, two kids - two years ago.",5.325243374469347,"A man died, and three years later, in the fall of 2016, two kids - two years ago.",False,1.1931678058687571,6.940751562275215,22
english,You don't have to worry.,6.346694478497808,You don't have to worry.,False,1.3927218528593166,6.853632979642918,7
english,"He would not accept it any other title of honor, sir.",5.990461873193416,"He would not accept it any other title of honor, sir.",False,1.4240981980857275,7.446836311026488,13
english,"It contains the names of the three rivers that flow to the western United Kingdom, Belgium, France, Germany, France, and Canada.",5.530683838131817,"It contains the names of the three rivers that flow to the western United Kingdom, Belgium, France, Germany, France, and Canada.",False,1.1343594227934266,7.352462201573933,27
english,I didn't know that I've met your friend here.,5.971075007477644,I didn't know that I've met your friend here.,False,1.3595490258688503,7.292839400614853,12
english,"Now I have a special song to sing for the song of ""So That's A Good Life"".",5.9089922309749605,"Now I have a special song to sing for the song of ""So That's A Good Life"".",False,1.2202716446149724,7.710176469975172,20
english,"""She'll see, yes.""",6.803663316363339,"""She'll see, yes.""",False,1.9815510971359647,7.65922301386813,7
english,I'll just get it finished.,6.244686172374658,I'll just get it finished.,False,1.8463762143928304,6.829116718317869,7
english,- Okay.,6.514238534865375,- Okay.,False,10.780215625510783,4.816304269519141,3
english,You know what to say.,6.187572433264148,You know what to say.,False,1.7446793899615012,6.328231158559944,6
english,"This is the greatest moment I shall ever forget you ever had last summer, '' she said.",5.877437852704175,"This is the greatest moment I shall ever forget you ever had last summer, '' she said.",False,1.2616702407972282,7.635767122260027,19
english,"Oh I see  yeah, yeah.",6.529150727194674,"Oh I see  yeah, yeah.",False,2.0867750646419605,7.584867381887726,8
english,"""What for?"" cried a voice, ""Do you think he's playing the trumpet?""",6.168994211124539,"""What for?"" cried a voice, ""Do you think he's playing the trumpet?""",False,1.2247864609078567,7.991613794133672,18
english,He's gone to war.,6.54186934989912,He's gone to war.,False,1.8499215256628578,6.860315868871331,6
english,I was only a few minutes late at the end of the interview and I was at the same table watching this programme that people of course think we'd like for the moment to think about the whole thing.,5.130308170563853,I was only a few minutes late at the end of the interview and I was at the same table watching this programme that people of course think we'd like for the moment to think about the whole thing.,False,1.0900773843979197,6.972226178823491,41
english,It has gone off.,6.6050184083071795,It has gone off.,False,2.6850012623779884,6.558384047126376,5
english,You must be ashamed!,7.242513088604156,You must be ashamed!,False,3.34791730126407,7.565411963478098,5
english,-I'd put that one on your finger!,5.953717449465709,-I'd put that one on your finger!,False,1.5707142567998824,7.053831354628246,10
english,"Well it would also be the last we find, so we get B and B here.",5.185793524782033,"Well it would also be the last we find, so we get B and B here.",False,1.2814091983141453,6.604493160028994,18
english,I'll be on the line.,5.707145963454806,I'll be on the line.,False,1.6901236010726914,6.0220271506445195,7
english,"For the next fortnight, he will only let us know what he intends to do.",5.808949103011154,"For the next fortnight, he will only let us know what he intends to do.",False,1.1755656630249176,7.404679514597829,17
english,"Let's get our drinks straight, let's get our drinks back, let's get them fast, no matter how much time you've been off the road all day, the girl won't keep coming.",5.544534874033504,"Let's get our drinks straight, let's get our drinks back, let's get them fast, no matter how much time you've been off the road all day, the girl won't keep coming.",False,1.0811570280686675,7.561286861207333,41
english,The town was established in 1864.,6.45119047945988,The town was established in 1864.,False,1.5845559346301747,7.354781178619898,8
english,"What's up now, guys!",6.416417960570515,"What's up now, guys!",False,1.605978269389671,7.0147315211781045,7
english,He knew exactly what to do.,6.521799652798064,He knew exactly what to do.,False,1.4757213794493609,7.129068092045,7
english,"Come on, I beg of you, Father, the only reason I won a thing like that is because of you and I have to look forward to the world, right?",4.871804905536653,"Come on, I beg of you, Father, the only reason I won a thing like that is because of you and I have to look forward to the world, right?",False,1.0946080453866363,6.534866022424565,35
english,"I wonder if I've become a nun, not a nun then?",6.20649236170846,"I wonder if I've become a nun, not a nun then?",False,1.308105078707551,7.810411550786859,14
english,"So, a little bit better.",6.001738768814769,"So, a little bit better.",False,1.6329392560024318,6.4286542909395346,7
english,"But he did not do the same in his mind in that manner, for he began to understand, too, that it is time of death that the Lord Jesus had been given to the Father of God and of the apostles, that people called him Jesus",5.01578856694204,"But he did not do the same in his mind in that manner, for he began to understand, too, that it is time of death that the Lord Jesus had been given to the Father of God and of the apostles, that people called him Jesus",False,1.0750181051450831,6.875196216703063,50
english,How did they have to die?,6.451683419862571,How did they have to die?,False,1.7213105524038221,7.095047217491426,7
english,"I just wanted us to do just this if we could take the time off with us. - What's up, boys? - I said, ""It would be a pleasure of mine to put the head up and support, but I can't.""",5.05348979886536,"I just wanted us to do just this if we could take the time off with us. - What's up, boys? - I said, ""It would be a pleasure of mine to put the head up and support, but I can't.""",False,1.0730084841737444,6.928326432633359,50
