Phenomenon,Dataset Name,5-gram Score,Cue Reliability,% Discarded,Number of minimal pairs
ANAPHOR AGREEMENT,anaphor_gender_agreement,44,Strong,0.0%,1000
ANAPHOR AGREEMENT,anaphor_number_agreement,52,Strong,0.0%,1000
ARGUMENT STRUCTURE,animate_subject_passive,70,Weak,27.7%,723
ARGUMENT STRUCTURE,animate_subject_trans,91,Strong,44.5%,555
ARGUMENT STRUCTURE,causative,54,Weak,41.9%,581
ARGUMENT STRUCTURE,drop_argument,72,Weak,58.8%,412
ARGUMENT STRUCTURE,inchoative,51,Weak,40.9%,591
ARGUMENT STRUCTURE,intransitive,68,Weak,54.4%,456
ARGUMENT STRUCTURE,passive_1,89,Strong,35.6%,644
ARGUMENT STRUCTURE,passive_2,82,Strong,39.3%,607
ARGUMENT STRUCTURE,transitive,71,Weak,45.0%,550
BINDING,principle_A_c_command,58,Weak,0.0%,1000
BINDING,principle_A_case_1,100,Strong,0.0%,1000
BINDING,principle_A_case_2,49,Weak,11.3%,887
BINDING,principle_A_domain_1,95,Strong,0.0%,1000
BINDING,principle_A_domain_2,56,Weak,0.0%,1000
BINDING,principle_A_domain_3,52,Weak,56.2%,438
BINDING,principle_A_reconstruction,40,Weak,0.0%,1000
CONTROL/RAISING,existential_there_object_raising,84,Strong,27.1%,729
CONTROL/RAISING,existential_there_subject_raising,77,Weak,15.0%,850
CONTROL/RAISING,expletive_it_object_raising,72,Weak,68.2%,318
CONTROL/RAISING,tough_vs_raising_1,33,Weak,6.7%,933
CONTROL/RAISING,tough_vs_raising_2,77,Weak,6.9%,931
DETERMINER-NOUN AGR.,determiner_noun_agreement_1,88,Strong,7.3%,927
DETERMINER-NOUN AGR.,determiner_noun_agreement_2,86,Strong,0.0%,1000
DETERMINER-NOUN AGR.,determiner_noun_agreement_irregular_1,53,Weak,29.7%,703
DETERMINER-NOUN AGR.,determiner_noun_agreement_irregular_2,55,Weak,0.0%,1000
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adjective_1,52,Weak,8.6%,914
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_2,50,Weak,0.0%,1000
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_irregular_1,53,Weak,18.2%,818
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_irregular_2,55,Weak,0.0%,1000
ELLIPSIS,ellipsis_n_bar_1,23,Weak,0.0%,1000
ELLIPSIS,ellipsis_n_bar_2,50,Weak,40.7%,593
FILLER GAP,wh_questions_object_gap,53,Weak,0.0%,1000
FILLER GAP,wh_questions_subject_gap,82,Strong,0.0%,1000
FILLER GAP,wh_questions_subject_gap_long_distance,86,Strong,0.0%,1000
FILLER GAP,wh_vs_that_no_gap,83,Strong,0.0%,1000
FILLER GAP,wh_vs_that_no_gap_long_distance,81,Strong,0.0%,1000
FILLER GAP,wh_vs_that_with_gap,18,Weak,0.0%,1000
FILLER GAP,wh_vs_that_with_gap_long_distance,20,Weak,0.0%,1000
IRREGULAR FORMS,irregular_past_participle_adjectives,79,Weak,0.0%,1000
IRREGULAR FORMS,irregular_past_participle_verbs,80,Strong,6.8%,932
ISLAND EFFECTS,adjunct_island,48,Weak,0.0%,1000
ISLAND EFFECTS,complex_NP_island,50,Weak,0.0%,1000
ISLAND EFFECTS,coordinate_structure_constraint_complex_left_branch,32,Weak,0.0%,1000
ISLAND EFFECTS,coordinate_structure_constraint_object_extraction,59,Weak,0.0%,1000
ISLAND EFFECTS,left_branch_island_echo_question,96,Strong,44.8%,552
ISLAND EFFECTS,left_branch_island_simple_question,57,Weak,0.0%,1000
ISLAND EFFECTS,sentential_subject_island,61,Weak,0.0%,1000
ISLAND EFFECTS,wh_island,56,Weak,0.0%,1000
NPI LICENSING,matrix_question_npi_licensor_present,1,Weak,36.6%,634
NPI LICENSING,npi_present_1,47,Weak,0.0%,1000
NPI LICENSING,npi_present_2,47,Weak,0.0%,1000
NPI LICENSING,only_npi_licensor_present,57,Weak,0.0%,1000
NPI LICENSING,only_npi_scope,30,Weak,23.8%,762
NPI LICENSING,sentential_negation_npi_licensor_present,93,Strong,0.0%,1000
NPI LICENSING,sentential_negation_npi_scope,45,Weak,0.0%,1000
QUANTIFIERS,existential_there_quantifiers_1,91,Strong,0.0%,1000
QUANTIFIERS,existential_there_quantifiers_2,62,Weak,0.0%,1000
QUANTIFIERS,superlative_quantifiers_1,45,Weak,0.0%,1000
QUANTIFIERS,superlative_quantifiers_2,17,Weak,0.0%,1000
SUBJECT-VERB AGR.,distractor_agreement_relational_noun,24,Weak,8.1%,919
SUBJECT-VERB AGR.,distractor_agreement_relative_clause,22,Weak,10.6%,894
SUBJECT-VERB AGR.,irregular_plural_subject_verb_agreement_1,73,Weak,13.6%,864
SUBJECT-VERB AGR.,irregular_plural_subject_verb_agreement_2,88,Strong,19.8%,802
SUBJECT-VERB AGR.,regular_plural_subject_verb_agreement_1,76,Weak,11.9%,881
SUBJECT-VERB AGR.,regular_plural_subject_verb_agreement_2,81,Strong,7.4%,926
